response_id,ad_id,year,brand,respondent_age,respondent_gender,quality_profile,ad_likeability,memorability,emotional_impact,brand_recall,purchase_intent,completion_time,attention_check,open_feedback,timestamp,feedback_length,rating_variance,attention_passed
R0001,AD_033,2000,E-Trade,35-44,Male,high_quality,5,5,2,2,4,94.52793064548048,E-Trade,"Really enjoyed this E-Trade ad. Creative and memorable, would definitely share with friends.",2025-11-05 16:58:47.496910,92,2.3000000000000003,True
R0001,AD_006,2020,Coca-Cola,55+,Male,high_quality,5,4,3,4,2,143.6951213157875,Coca-Cola,"Really enjoyed this Coca-Cola ad. Creative and memorable, would definitely share with friends.",2025-11-24 16:58:47.496910,94,1.3,True
R0001,AD_181,2013,Kia,55+,Other,high_quality,5,5,2,4,2,121.85238897531487,Kia,This Kia ad was well done. It held my attention and I'd consider the product.,2025-11-13 16:58:47.496910,77,2.3000000000000003,True
R0001,AD_086,2004,Toyota,55+,Female,high_quality,5,5,2,2,4,104.21117469411017,Toyota,Great execution by Toyota. The ad was funny without being forced.,2025-11-16 16:58:47.496910,65,2.3000000000000003,True
R0001,AD_155,2001,E-Trade,25-34,Female,high_quality,2,2,3,2,3,124.21039520458785,E-Trade,Loved the creativity in this E-Trade spot. It stood out and made me smile.,2025-11-07 16:58:47.496910,74,0.3,True
R0002,AD_238,2001,Pepsi,45-54,Other,high_quality,5,2,4,4,3,151.52745093280421,Pepsi,"Really enjoyed this Pepsi ad. Creative and memorable, would definitely share with friends.",2025-11-09 16:58:47.497918,90,1.3000000000000003,True
R0002,AD_164,2019,Kia,55+,Female,high_quality,4,2,4,4,2,92.8680671187063,Kia,"Really enjoyed this Kia ad. Creative and memorable, would definitely share with friends.",2025-11-05 16:58:47.498918,88,1.2,True
R0002,AD_142,2005,Bud Light,35-44,Male,high_quality,5,5,2,2,3,110.60544865304188,Bud Light,Loved the creativity in this Bud Light spot. It stood out and made me smile.,2025-11-12 16:58:47.498918,76,2.3,True
R0002,AD_068,2004,Budweiser,35-44,Male,high_quality,5,3,3,2,4,131.12696208946605,Budweiser,Loved the creativity in this Budweiser spot. It stood out and made me smile.,2025-11-04 16:58:47.498918,76,1.2999999999999998,True
R0003,AD_152,2009,Doritos,55+,Other,high_quality,5,5,2,4,4,119.87886995741368,Doritos,The Doritos commercial was entertaining and the brand message came through clearly.,2025-11-21 16:58:47.500900,83,1.5,True
