response_id,ad_id,year,brand,respondent_age,respondent_gender,quality_profile,ad_likeability,memorability,emotional_impact,brand_recall,purchase_intent,completion_time,attention_check,open_feedback,timestamp,feedback_length,rating_variance,attention_passed,speeding_score,straightlining_score,average_rating,rating_range,word_count,lexical_diversity,text_quality_score,inconsistency_score,attention_score,overall_quality_score
R0001,AD_033,2000,E-Trade,35-44,Male,high_quality,5,5,2,2,4,94.52793064548048,E-Trade,"Really enjoyed this E-Trade ad. Creative and memorable, would definitely share with friends.",2025-11-05 16:58:47.496910,92,2.3000000000000003,True,21.61104765045197,52.083333333333336,3.6,3,13.0,1.0,100.0,50.0,100,27.004147628468925
R0001,AD_006,2020,Coca-Cola,55+,Male,high_quality,5,4,3,4,2,143.6951213157875,Coca-Cola,"Really enjoyed this Coca-Cola ad. Creative and memorable, would definitely share with friends.",2025-11-24 16:58:47.496910,94,1.3,True,0.0,72.91666666666667,3.6,3,13.0,1.0,100.0,0.0,100,18.229166666666668
R0001,AD_181,2013,Kia,55+,Other,high_quality,5,5,2,4,2,121.85238897531488,Kia,This Kia ad was well done. It held my attention and I'd consider the product.,2025-11-13 16:58:47.496910,77,2.3000000000000003,True,0.0,52.083333333333336,3.6,3,15.0,1.0,98.73417721518987,25.0,100,17.02399789029536
R0001,AD_086,2004,Toyota,55+,Female,high_quality,5,5,2,2,4,104.21117469411016,Toyota,Great execution by Toyota. The ad was funny without being forced.,2025-11-16 16:58:47.496910,65,2.3000000000000003,True,13.581046875719387,52.083333333333336,3.6,3,11.0,1.0,83.44693281402142,50.0,100,27.905760833244866
R0001,AD_155,2001,E-Trade,25-34,Female,high_quality,2,2,3,2,3,124.21039520458784,E-Trade,Loved the creativity in this E-Trade spot. It stood out and made me smile.,2025-11-07 16:58:47.496910,74,0.3,True,0.0,93.75,2.4,1,14.0,1.0,96.83544303797468,0.0,100,24.070411392405063
R0002,AD_238,2001,Pepsi,45-54,Other,high_quality,5,2,4,4,3,151.5274509328042,Pepsi,"Really enjoyed this Pepsi ad. Creative and memorable, would definitely share with friends.",2025-11-09 16:58:47.497918,90,1.3000000000000005,True,0.0,72.91666666666666,3.6,3,13.0,1.0,100.0,25.0,100,21.979166666666664
R0002,AD_164,2019,Kia,55+,Female,high_quality,4,2,4,4,2,92.8680671187063,Kia,"Really enjoyed this Kia ad. Creative and memorable, would definitely share with friends.",2025-11-05 16:58:47.498918,88,1.2,True,22.98751873173523,75.0,3.2,2,13.0,1.0,100.0,25.0,100,29.396255619520566
R0002,AD_142,2005,Bud Light,35-44,Male,high_quality,5,5,2,2,3,110.60544865304188,Bud Light,Loved the creativity in this Bud Light spot. It stood out and made me smile.,2025-11-12 16:58:47.498918,76,2.3,True,8.278482509251692,52.08333333333335,3.4,3,15.0,1.0,98.10126582278481,25.0,100,19.634124921551884
R0002,AD_068,2004,Budweiser,35-44,Male,high_quality,5,3,3,2,4,131.12696208946605,Budweiser,Loved the creativity in this Budweiser spot. It stood out and made me smile.,2025-11-04 16:58:47.498918,76,1.2999999999999998,True,0.0,72.91666666666667,3.4,3,14.0,1.0,98.10126582278481,25.0,100,22.358913502109704
R0003,AD_152,2009,Doritos,55+,Other,high_quality,5,5,2,4,4,119.87886995741368,Doritos,The Doritos commercial was entertaining and the brand message came through clearly.,2025-11-21 16:58:47.500900,83,1.5,True,0.5883344674840916,68.75,4.0,3,12.0,0.9166666666666666,96.15384615384616,25.0,100,21.883231109475993
R0003,AD_047,2000,Budweiser,35-44,Other,high_quality,5,5,4,4,2,122.87246648117969,Budweiser,Loved the creativity in this Budweiser spot. It stood out and made me smile.,2025-10-31 16:58:47.502015,76,1.5,True,0.0,68.75,4.0,3,14.0,1.0,98.10126582278481,0.0,100,17.567246835443036
